,model,year,price,transmission,mileage,fuel type,engine size,mileage2,fuel type2,engine size2
0, C Class,2013,9995,Automatic,44900,29,160,46.3,Petrol,1.6
1, C Class,2012,6995,Automatic,88200,34,125,58.9,Diesel,2.1
2, C Class,2012,7495,Automatic,115000,37,145,54.3,Diesel,2.1
3, C Class,2011,8995,Automatic,69250,29,150,53.3,Diesel,2.1
4, C Class,2015,14995,Automatic,49850,31,30,62.8,Diesel,2.1
5, C Class,2013,8595,Automatic,82685,32,30,64.2,Diesel,2143.0
6, C Class,2016,19250,Semi-Auto,32506,38,125,60.1,Diesel,2.1
7, C Class,2017,23500,Semi-Auto,17000,33,145,67.3,Diesel,2.1
8, C Class,2014,17990,Automatic,41011,28,150,49.6,Petrol,1991.0
9, C Class,2016,14477,Automatic,72000,25,30,65.7,Diesel,1.6
10, C Class,2013,10977,Automatic,72000,38,145,54.3,Diesel,2.1
11, C Class,2016,17977,Automatic,40000,25,30,64.2,Diesel,1.6
12, C Class,2011,7500,Manual,91000,34,125,60.1,Diesel,2.1
13, C Class,2013,9750,Automatic,69700,36,145,53.3,Diesel,2.1
14, C Class,2015,15995,Automatic,39000,26,30,64.2,Diesel,1600.0
15, C Class,2016,15675,Manual,39287,31,20,68.9,Diesel,2143.0
16, C Class,2016,16475,Manual,40569,31,20,68.9,Diesel,2143.0
17, C Class,2017,17795,Automatic,37778,37,150,64.2,Diesel,2143.0
18, C Class,2017,16500,Automatic,75000,25,30,64.2,Diesel,1.6
19, C Class,2015,15500,Automatic,64000,32,30,64.2,Diesel,2.1
20, C Class,2012,11000,Automatic,43426,32,160,44.8,Petrol,1595.0
21, C Class,2016,13300,Manual,42622,30,20,70.6,Diesel,2143.0
22, C Class,2016,16000,Manual,34903,31,20,68.9,Diesel,2143.0
23, C Class,2014,12500,Automatic,35345,38,145,53.3,Diesel,2143.0
24, C Class,2015,14495,Manual,23146,31,115,52.3,Petrol,2000.0
25, C Class,2017,24500,Automatic,16000,38,145,65.7,Diesel,2.1
26, C Class,2013,23990,Automatic,44000,44,570,23.5,Petrol,6.2
27, C Class,2015,17250,Automatic,30000,37,30,64.2,Diesel,2.1
28, C Class,2015,14200,Automatic,22000,35,160,44.8,Petrol,1.6
29, C Class,2017,22950,Automatic,19000,32,150,47.1,Petrol,2.0
30, C Class,2013,10500,Automatic,90000,34,145,54.3,Diesel,2.1
31, C Class,2014,15650,Automatic,32000,31,20,64.2,Diesel,2.1
32, C Class,2017,19950,Automatic,23000,31,145,61.4,Diesel,2.1
33, C Class,2014,9990,Automatic,78000,43,145,53.3,Diesel,2143.0
34, C Class,2015,11990,Automatic,47000,43,145,53.3,Diesel,2143.0
35, C Class,2015,14490,Automatic,64000,31,30,64.2,Diesel,2143.0
36, C Class,2013,10490,Automatic,50000,38,145,54.3,Diesel,2143.0
37, C Class,2013,11350,Automatic,69000,38,145,54.3,Diesel,2.1
38, C Class,2014,12900,Automatic,41000,35,160,44.8,Petrol,1.6
39, C Class,2009,4343,Automatic,120000,37,205,45.6,Diesel,2145.0
40, C Class,2007,3495,Automatic,119168,26,300,33.6,Petrol,1796.0
41, C Class,2014,12998,Semi-Auto,52712,31,20,64.2,Diesel,2.1
42, C Class,2018,23498,Semi-Auto,17093,32,145,67.3,Diesel,2.1
43, C Class,2016,18498,Semi-Auto,31891,38,0,134.5,Hybrid,2.0
44, C Class,2014,15498,Semi-Auto,36243,32,30,64.2,Diesel,2.1
45, C Class,2017,23995,Semi-Auto,32800,38,30,65.7,Diesel,2.1
46, C Class,2014,16995,Automatic,37600,27,30,64.2,Diesel,2.1
47, C Class,2017,24995,Automatic,14000,33,145,47.1,Petrol,2.0
48, C Class,2014,26998,Semi-Auto,24175,44,570,23.5,Petrol,6.2
49, C Class,2016,20498,Semi-Auto,27968,38,125,60.1,Diesel,2.1
50, C Class,2016,16998,Semi-Auto,26973,25,30,65.7,Diesel,1.6
51, C Class,2018,27498,Semi-Auto,12491,38,145,65.7,Diesel,2.1
52, C Class,2014,15998,Semi-Auto,26216,34,30,64.2,Diesel,2.1
53, C Class,2013,9298,Semi-Auto,80485,38,145,54.3,Diesel,2.1
54, C Class,2016,12998,Manual,53453,30,20,70.6,Diesel,2.1
55, C Class,2016,22998,Semi-Auto,23090,37,30,65.7,Diesel,2.1
56, C Class,2016,17998,Manual,26100,31,20,68.9,Diesel,2.1
57, C Class,2016,18998,Semi-Auto,28388,26,30,64.2,Diesel,1.6
58, C Class,2017,20998,Semi-Auto,16902,31,145,60.1,Diesel,2.1
59, C Class,2016,21998,Semi-Auto,31227,37,30,65.7,Diesel,2.1
60, C Class,2015,13998,Manual,24010,25,20,72.4,Diesel,1.6
61, C Class,2014,15298,Semi-Auto,41416,31,30,64.2,Diesel,2.1
62, C Class,2014,15498,Semi-Auto,23772,31,20,64.2,Diesel,2.1
63, C Class,2017,18998,Semi-Auto,28808,31,145,61.4,Diesel,2.1
64, C Class,2016,18990,Semi-Auto,26413,37,20,64.2,Diesel,2.1
65, C Class,2014,10995,Manual,98000,31,20,68.9,Diesel,2.1
66, C Class,2014,15698,Semi-Auto,39920,34,30,64.2,Diesel,2.1
67, C Class,2016,19298,Semi-Auto,27644,37,30,64.2,Diesel,2.1
68, C Class,2018,20685,Semi-Auto,21929,32,145,64.2,Diesel,2.1
69, C Class,2018,20489,Semi-Auto,16900,31,145,61.4,Diesel,2.1
70, C Class,2017,13800,Manual,34015,30,145,70.6,Diesel,2.1
71, C Class,2017,23998,Semi-Auto,14462,32,20,67.3,Diesel,2.1
72, C Class,2016,20998,Semi-Auto,23429,39,0,122.8,Hybrid,2.0
73, C Class,2013,11998,Semi-Auto,31706,40,145,53.3,Diesel,2.1
74, C Class,2015,12495,Automatic,55000,30,30,64.2,Diesel,2.1
75, C Class,2015,12495,Semi-Auto,50374,30,20,65.7,Diesel,2.1
76, C Class,2015,17498,Semi-Auto,42471,37,0,76.4,Hybrid,2.1
77, C Class,2016,16198,Manual,41974,31,20,68.9,Diesel,2.1
78, C Class,2017,18498,Semi-Auto,20618,31,30,64.2,Diesel,2.1
79, C Class,2016,16998,Semi-Auto,21786,30,20,65.7,Diesel,2.1
80, C Class,2017,25798,Semi-Auto,9676,38,145,65.7,Diesel,2.1
81, C Class,2018,20498,Semi-Auto,7894,31,145,60.1,Diesel,2.1
82, C Class,2017,18498,Semi-Auto,26179,31,145,60.1,Diesel,2.1
83, C Class,2015,13498,Manual,38438,30,20,70.6,Diesel,2.1
84, C Class,2016,19698,Automatic,25107,39,0,134.5,Hybrid,2.0
85, C Class,2017,22498,Semi-Auto,20491,38,135,74.3,Hybrid,2.1
86, C Class,2015,11998,Manual,52792,25,20,72.4,Diesel,1.6
87, C Class,2013,11998,Semi-Auto,30035,33,160,44.8,Petrol,1.6
88, C Class,2015,16315,Semi-Auto,46155,32,30,64.2,Diesel,2.1
89, C Class,2014,14490,Semi-Auto,31801,31,20,64.2,Diesel,2.1
90, C Class,2018,18998,Semi-Auto,15075,31,145,50.4,Petrol,2.0
91, C Class,2015,16798,Semi-Auto,32409,32,30,64.2,Diesel,2.1
92, C Class,2017,20790,Semi-Auto,22485,38,0,74.3,Hybrid,2.1
93, C Class,2013,9490,Semi-Auto,41921,29,145,47.9,Petrol,1.6
94, C Class,2017,14990,Manual,41647,31,20,65.7,Diesel,2.1
95, C Class,2018,19490,Semi-Auto,11810,31,145,61.4,Diesel,2.1
96, C Class,2014,28990,Semi-Auto,19562,44,570,23.5,Petrol,6.2
97, C Class,2016,16298,Semi-Auto,29201,25,30,64.2,Diesel,1.6
98, C Class,2015,14698,Semi-Auto,43331,37,20,64.2,Diesel,2.1
99, C Class,2014,10498,Semi-Auto,51929,43,145,53.3,Diesel,2.1
100, C Class,2015,11998,Semi-Auto,42245,30,150,53.3,Diesel,2.1
101, C Class,2016,17998,Semi-Auto,36587,38,0,134.5,Hybrid,2.0
102, C Class,2017,20998,Semi-Auto,42036,32,20,67.3,Diesel,2.1
103, C Class,2016,13691,Semi-Auto,36538,24,30,65.7,Diesel,1.6
104, C Class,2014,13491,Manual,56000,31,20,68.9,Diesel,2.1
105, C Class,2017,21998,Semi-Auto,11986,32,150,48.7,Petrol,2.0
106, C Class,2015,14500,Semi-Auto,38783,37,20,64.2,Diesel,2.1
107, C Class,2014,14490,Semi-Auto,59884,37,30,64.2,Diesel,2.1
108, C Class,2015,14750,Semi-Auto,32594,31,20,64.2,Diesel,2.1
109, C Class,2015,13361,Semi-Auto,35034,29,125,53.3,Petrol,2.0
110, C Class,2017,17490,Semi-Auto,35576,31,145,64.2,Diesel,2.1
111, C Class,2017,23047,Semi-Auto,8143,37,145,65.7,Diesel,2.1
112, C Class,2015,13621,Semi-Auto,57066,25,30,65.7,Diesel,1.6
113, C Class,2017,18200,Semi-Auto,25296,31,30,61.4,Diesel,2.1
114, C Class,2015,14698,Semi-Auto,23063,29,20,65.7,Diesel,2.1
115, C Class,2013,9798,Semi-Auto,60948,34,150,54.3,Diesel,2.1
116, C Class,2017,18998,Automatic,20949,31,145,61.4,Diesel,2.1
117, C Class,2016,20700,Semi-Auto,27890,38,20,67.3,Diesel,2.1
118, C Class,2015,16990,Semi-Auto,11954,37,20,64.2,Diesel,2.1
119, C Class,2014,11791,Semi-Auto,42879,38,145,53.3,Diesel,2.1
120, C Class,2015,18191,Semi-Auto,11470,27,30,64.2,Diesel,1.6
121, C Class,2017,13321,Semi-Auto,61305,24,150,65.7,Diesel,1.6
122, C Class,2016,21998,Semi-Auto,10561,32,20,67.3,Diesel,2.1
123, C Class,2017,15998,Semi-Auto,72939,39,0,134.5,Hybrid,2.0
124, C Class,2015,13498,Manual,31125,29,20,70.6,Diesel,2.1
125, C Class,2017,20871,Semi-Auto,37194,37,145,65.7,Diesel,2.1
126, C Class,2016,19991,Semi-Auto,35975,32,20,67.3,Diesel,2.1
127, C Class,2015,15990,Semi-Auto,55226,32,30,64.2,Diesel,2.1
128, C Class,2017,21650,Automatic,33943,32,145,47.1,Petrol,2.0
129, C Class,2017,17690,Semi-Auto,25059,31,145,61.4,Diesel,2.1
130, C Class,2017,19798,Semi-Auto,19877,38,0,134.5,Hybrid,2.0
131, C Class,2018,19991,Semi-Auto,20027,31,150,60.1,Diesel,2.1
132, C Class,2017,21991,Semi-Auto,19953,32,145,67.3,Diesel,2.1
133, C Class,2018,22591,Semi-Auto,18551,32,145,67.3,Diesel,2.1
134, C Class,2017,14990,Semi-Auto,27424,30,145,65.7,Diesel,2.1
135, C Class,2016,20990,Semi-Auto,36051,38,30,65.7,Diesel,2.1
136, C Class,2015,12590,Semi-Auto,65000,43,150,53.3,Diesel,2.1
137, C Class,2018,20885,Semi-Auto,22773,31,145,61.4,Diesel,2.1
138, C Class,2018,19940,Semi-Auto,18882,31,145,61.4,Diesel,2.1
139, C Class,2016,16498,Semi-Auto,27034,25,30,65.7,Diesel,1.6
140, C Class,2016,14500,Semi-Auto,40620,25,30,65.7,Diesel,1.6
141, C Class,2016,13660,Manual,26682,30,20,70.6,Diesel,2.1
142, C Class,2016,23920,Automatic,18865,38,30,65.7,Diesel,2.1
143, C Class,2017,22960,Semi-Auto,21225,32,20,67.3,Diesel,2.1
144, C Class,2017,16590,Semi-Auto,52519,27,30,64.2,Diesel,1.6
145, C Class,2017,22440,Semi-Auto,32629,32,20,67.3,Diesel,2.1
146, C Class,2016,17820,Semi-Auto,30748,31,20,68.9,Diesel,2.1
147, C Class,2016,19690,Semi-Auto,38087,32,20,67.3,Diesel,2.1
148, C Class,2015,16998,Semi-Auto,66796,38,0,74.3,Hybrid,2.1
149, C Class,2016,19698,Semi-Auto,41056,32,20,67.3,Diesel,2.1
150, C Class,2015,15498,Manual,32140,31,20,68.9,Diesel,2.1
151, C Class,2016,21299,Semi-Auto,12249,32,150,49.6,Petrol,2.0
152, C Class,2017,17999,Semi-Auto,37564,38,0,134.5,Hybrid,2.0
153, C Class,2017,21999,Semi-Auto,10288,32,150,47.9,Petrol,2.0
154, C Class,2017,21770,Semi-Auto,32790,32,20,67.3,Diesel,2.1
155, C Class,2017,22590,Semi-Auto,41131,38,30,65.7,Diesel,2.1
156, C Class,2017,22770,Automatic,14052,37,145,65.7,Diesel,2.1
157, C Class,2015,16480,Automatic,44929,31,30,64.2,Diesel,2.1
158, C Class,2013,9881,Automatic,50591,29,160,46.3,Petrol,1.6
159, C Class,2015,13498,Manual,14480,29,125,53.3,Petrol,2.0
160, C Class,2015,17450,Semi-Auto,37000,38,30,64.2,Diesel,2.1
161, C Class,2017,24990,Semi-Auto,22369,38,145,61.4,Diesel,2.1
162, C Class,2015,16440,Semi-Auto,29286,37,20,64.2,Diesel,2.1
163, C Class,2014,9891,Semi-Auto,52500,32,125,57.7,Diesel,2.1
164, C Class,2017,22495,Automatic,19779,32,145,67.3,Diesel,2.1
165, C Class,2017,21565,Automatic,39447,33,145,47.1,Petrol,2.0
166, C Class,2017,21697,Semi-Auto,28272,32,145,47.1,Petrol,2.0
167, C Class,2016,20990,Semi-Auto,20972,38,30,64.2,Diesel,2.1
168, C Class,2015,13448,Semi-Auto,31878,30,20,65.7,Diesel,2.1
169, C Class,2014,15998,Semi-Auto,34382,32,30,64.2,Diesel,2.1
170, C Class,2016,19498,Semi-Auto,24111,38,0,134.5,Hybrid,2.0
171, C Class,2017,22498,Semi-Auto,22888,32,20,67.3,Diesel,2.1
172, C Class,2014,16990,Semi-Auto,32475,34,30,64.2,Diesel,2.1
173, C Class,2017,18433,Semi-Auto,34278,31,145,61.4,Diesel,2.1
174, C Class,2016,21440,Semi-Auto,26600,32,20,67.3,Diesel,2.1
175, C Class,2017,22170,Semi-Auto,19155,32,145,67.3,Diesel,2.1
176, C Class,2016,22765,Automatic,25178,38,30,65.7,Diesel,2.1
177, C Class,2018,22880,Semi-Auto,23061,32,145,67.3,Diesel,2.1
178, C Class,2017,18795,Automatic,46294,32,20,67.3,Diesel,2.1
179, C Class,2016,15220,Semi-Auto,39656,30,20,65.7,Diesel,2.1
180, C Class,2017,21440,Semi-Auto,13096,32,145,61.4,Diesel,2.1
181, C Class,2017,20200,Semi-Auto,21462,37,145,61.4,Diesel,2.1
182, C Class,2018,19660,Semi-Auto,5232,26,145,65.7,Diesel,1.6
183, C Class,2017,22990,Semi-Auto,15527,32,145,67.3,Diesel,2.1
184, C Class,2018,22770,Semi-Auto,21200,32,145,67.3,Diesel,2.1
185, C Class,2018,19775,Semi-Auto,45335,32,145,67.3,Diesel,2.1
186, C Class,2017,24660,Semi-Auto,9873,32,20,67.3,Diesel,2.1
187, C Class,2017,18495,Semi-Auto,22994,31,145,48.7,Petrol,2.0
188, C Class,2017,18499,Semi-Auto,28480,25,30,64.2,Diesel,1.6
189, C Class,2018,24799,Semi-Auto,20087,33,145,47.1,Petrol,2.0
190, C Class,2017,18995,Automatic,11800,31,145,61.4,Diesel,2.1
191, C Class,2014,15280,Semi-Auto,25901,31,20,64.2,Diesel,2.1
192, C Class,2014,14795,Automatic,20417,31,125,52.3,Petrol,2.0
193, C Class,2018,19840,Automatic,14467,31,145,61.4,Diesel,2.1
194, C Class,2014,13791,Semi-Auto,53144,31,20,64.2,Diesel,2.1
195, C Class,2017,24360,Semi-Auto,14346,38,145,65.7,Diesel,2.1
196, C Class,2014,14990,Semi-Auto,56958,31,30,64.2,Diesel,2.1
197, C Class,2016,15990,Semi-Auto,26957,25,30,65.7,Diesel,1.6
198, C Class,2017,16998,Semi-Auto,26281,25,30,65.7,Diesel,1.6
199, C Class,2016,21495,Semi-Auto,16723,38,125,60.1,Diesel,2.1
200, C Class,2016,20995,Semi-Auto,14909,38,30,64.2,Diesel,2.1
201, C Class,2018,20495,Semi-Auto,24158,31,145,60.1,Diesel,2.1
202, C Class,2017,21595,Semi-Auto,12648,32,145,67.3,Diesel,2.1
203, C Class,2017,21295,Semi-Auto,36135,38,30,65.7,Diesel,2.1
204, C Class,2016,19995,Semi-Auto,19488,38,30,64.2,Diesel,2.1
205, C Class,2017,23495,Semi-Auto,23033,38,30,65.7,Diesel,2.1
206, C Class,2017,17000,Semi-Auto,23400,31,145,64.2,Diesel,2.1
207, C Class,2015,14698,Semi-Auto,39687,32,125,52.3,Petrol,2.0
208, C Class,2014,14288,Semi-Auto,54230,32,30,64.2,Diesel,2.1
209, C Class,2018,18265,Semi-Auto,16974,31,145,64.2,Diesel,2.1
210, C Class,2014,15971,Semi-Auto,14354,29,125,52.3,Petrol,2.0
211, C Class,2017,19465,Automatic,35599,32,145,47.9,Petrol,2.0
212, C Class,2017,20990,Semi-Auto,19733,32,150,48.7,Petrol,2.0
213, C Class,2017,18495,Semi-Auto,41857,38,145,61.4,Diesel,2.1
214, C Class,2016,14495,Automatic,50995,25,30,64.2,Diesel,1.6
215, C Class,2014,13950,Semi-Auto,45527,31,20,64.2,Diesel,2.1
216, C Class,2014,12750,Semi-Auto,74000,31,30,62.8,Diesel,2.1
217, C Class,2016,19495,Automatic,45907,38,0,74.3,Hybrid,2.1
218, C Class,2018,19950,Semi-Auto,33082,31,145,64.2,Diesel,2.1
219, C Class,2017,19498,Semi-Auto,22424,31,30,60.1,Diesel,2.1
220, C Class,2014,16360,Semi-Auto,46425,32,30,64.2,Diesel,2.1
221, C Class,2014,10190,Semi-Auto,62448,31,150,56.5,Diesel,2.1
222, C Class,2016,15998,Semi-Auto,25202,25,30,65.7,Diesel,1.6
223, C Class,2017,24698,Semi-Auto,28631,33,150,67.3,Diesel,2.1
224, C Class,2014,15998,Semi-Auto,66140,32,125,60.1,Diesel,2.1
225, C Class,2018,19950,Semi-Auto,33082,31,145,64.2,Diesel,2.1
226, C Class,2014,11149,Semi-Auto,39173,46,145,56.5,Diesel,2.1
227, C Class,2018,17990,Semi-Auto,27000,31,145,48.7,Petrol,2.0
228, C Class,2017,16350,Semi-Auto,14893,25,30,64.2,Diesel,1.6
229, C Class,2015,10477,Semi-Auto,81816,29,125,53.3,Petrol,2.0
230, C Class,2018,18998,Semi-Auto,15408,31,145,50.4,Petrol,2.0
231, C Class,2018,26281,Semi-Auto,10997,33,145,67.3,Diesel,2.1
232, C Class,2017,17791,Semi-Auto,20392,31,150,64.2,Diesel,2.1
233, C Class,2016,16998,Automatic,59208,37,0,76.4,Hybrid,2.1
234, C Class,2014,14498,Semi-Auto,39442,31,20,64.2,Diesel,2.1
235, C Class,2016,19798,Semi-Auto,29643,38,125,60.1,Diesel,2.1
236, C Class,2017,16750,Semi-Auto,20000,30,145,65.7,Diesel,2.1
237, C Class,2015,12880,Semi-Auto,32786,30,145,53.3,Diesel,2.1
238, C Class,2016,17990,Semi-Auto,59625,38,30,64.2,Diesel,2.1
239, C Class,2017,20498,Semi-Auto,5630,25,145,64.2,Diesel,1.6
240, C Class,2013,11298,Semi-Auto,37964,33,165,44.8,Petrol,1.6
241, C Class,2017,16500,Semi-Auto,14077,30,145,64.2,Diesel,2.1
242, C Class,2014,16990,Semi-Auto,40000,28,145,49.6,Petrol,2.0
243, C Class,2015,15542,Semi-Auto,49436,31,30,62.8,Diesel,2.1
244, C Class,2016,18247,Automatic,16975,38,0,134.5,Hybrid,2.0
245, C Class,2016,15067,Manual,21553,25,20,70.6,Diesel,1.6
246, C Class,2015,13917,Automatic,43097,32,125,52.3,Petrol,2.0
247, C Class,2015,15990,Automatic,26400,32,125,52.3,Petrol,2.0
248, C Class,2016,18833,Automatic,17593,37,30,64.2,Diesel,2.1
249, C Class,2016,18495,Semi-Auto,30000,37,0,74.3,Hybrid,2.1
250, C Class,2017,15495,Manual,31070,31,125,51.4,Petrol,2.0
251, C Class,2017,20981,Manual,7693,32,145,53.3,Petrol,2.0
252, C Class,2017,22532,Semi-Auto,20150,32,145,47.1,Petrol,2.0
253, C Class,2018,25298,Semi-Auto,8702,33,145,47.1,Petrol,2.0
254, C Class,2017,25498,Automatic,6067,32,145,67.3,Diesel,2.1
255, C Class,2016,21698,Semi-Auto,15804,39,0,134.5,Hybrid,2.0
256, C Class,2015,15790,Semi-Auto,19830,33,125,50.4,Petrol,2.0
257, C Class,2016,16998,Semi-Auto,13795,25,30,65.7,Diesel,1.6
258, C Class,2017,18240,Semi-Auto,44118,38,0,134.5,Hybrid,2.0
259, C Class,2017,22792,Semi-Auto,11163,32,145,48.7,Petrol,2.0
260, C Class,2017,18231,Semi-Auto,20185,31,145,50.4,Petrol,2.0
261, C Class,2014,14601,Semi-Auto,60000,37,125,60.1,Diesel,2.1
262, C Class,2018,23247,Automatic,10137,38,145,61.4,Diesel,2.1
263, C Class,2017,22720,Automatic,14161,32,145,67.3,Diesel,2.1
264, C Class,2017,18115,Semi-Auto,20846,31,145,50.4,Petrol,2.0
265, C Class,2016,20480,Semi-Auto,20169,38,30,64.2,Diesel,2.1
266, C Class,2016,21000,Semi-Auto,22156,38,30,64.2,Diesel,2.1
267, C Class,2016,19750,Semi-Auto,25000,38,30,64.2,Diesel,2.1
268, C Class,2016,20365,Semi-Auto,21430,32,145,49.6,Petrol,2.0
269, C Class,2016,17981,Semi-Auto,10581,25,30,64.2,Diesel,1.6
270, C Class,2015,19990,Semi-Auto,12469,38,30,64.2,Diesel,2.1
271, C Class,2016,20995,Automatic,19805,32,20,67.3,Diesel,2.1
272, C Class,2017,21630,Automatic,21994,32,145,67.3,Diesel,2.1
273, C Class,2014,12262,Semi-Auto,39547,30,145,53.3,Diesel,2.1
274, C Class,2016,22790,Semi-Auto,9600,33,145,49.6,Petrol,2.0
275, C Class,2016,16657,Semi-Auto,24247,30,20,65.7,Diesel,2.1
276, C Class,2018,21000,Semi-Auto,16424,31,145,64.2,Diesel,2.1
277, C Class,2018,24480,Semi-Auto,10859,38,145,58.9,Diesel,2.1
278, C Class,2015,17790,Automatic,8726,31,20,64.2,Diesel,2.1
279, C Class,2015,14690,Semi-Auto,68647,37,30,64.2,Diesel,2.1
280, C Class,2018,22991,Semi-Auto,7615,32,145,67.3,Diesel,2.1
281, C Class,2017,20091,Semi-Auto,24991,32,150,61.4,Diesel,2.1
282, C Class,2016,17498,Semi-Auto,63507,37,0,76.4,Hybrid,2.1
283, C Class,2015,10998,Manual,92589,31,20,68.9,Diesel,2.1
284, C Class,2017,16495,Semi-Auto,25656,25,30,65.7,Diesel,1.6
285, C Class,2017,24352,Automatic,8884,33,20,67.3,Diesel,2.1
286, C Class,2017,18372,Semi-Auto,26508,31,145,50.4,Petrol,2.0
287, C Class,2015,16592,Semi-Auto,25230,31,20,64.2,Diesel,2.1
288, C Class,2017,22852,Semi-Auto,21750,32,145,67.3,Diesel,2.1
289, C Class,2015,15212,Semi-Auto,36120,31,20,64.2,Diesel,2.1
290, C Class,2018,25812,Semi-Auto,11451,32,145,67.3,Diesel,2.1
291, C Class,2015,10397,Manual,79881,30,20,65.7,Diesel,2.1
292, C Class,2015,12672,Manual,44121,29,20,70.6,Diesel,2.1
293, C Class,2015,13898,Manual,17426,29,125,53.3,Petrol,2.0
294, C Class,2017,18498,Semi-Auto,42100,38,0,134.5,Hybrid,2.0
295, C Class,2016,16009,Automatic,39924,25,30,64.2,Diesel,1.6
296, C Class,2017,13980,Manual,21300,29,150,53.3,Petrol,2.0
297, C Class,2017,14980,Manual,45034,31,20,68.9,Diesel,2.1
298, C Class,2017,18830,Semi-Auto,42437,39,0,134.5,Hybrid,2.0
299, C Class,2017,19250,Semi-Auto,30796,39,0,134.5,Hybrid,2.0
300, C Class,2014,13251,Semi-Auto,56219,37,20,64.2,Diesel,2.1
301, C Class,2015,17712,Semi-Auto,22958,26,30,64.2,Diesel,1.6
302, C Class,2018,19902,Semi-Auto,45734,37,145,62.8,Diesel,2.1
303, C Class,2015,10610,Manual,83047,26,20,70.6,Diesel,1.6
